Date operation;Date piece;Journal;N doc;Libelle;Compte debit;Compte credit;Montant;Sens;Tresorerie
2026-06-01;2026-06-01;VT J.C;FAC N331-26;CLTS PASSAGERS/99;411004;411004;0.000;D;
2026-06-01;2026-06-01;VT J.C;FAC N331-26;CLTS PASSAGERS/99;411004;411004;3914.220;D;
2026-06-01;2026-06-01;VT J.C;FAC N331-26;CLTS PASSAGERS/99;411004;707200;3127.906;C;
2026-06-01;2026-06-01;VT J.C;FAC N331-26;CLTS PASSAGERS/99;411004;707219;659.924;C;
2026-06-01;2026-06-01;VT J.C;FAC N331-26;CLTS PASSAGERS/99;411004;436711;125.386;C;
2026-06-01;2026-06-01;VT J.C;FAC N331-26;CLTS PASSAGERS/99;411004;437500;1.000;C;
2026-06-01;2026-06-01;VT J.C;FAC N331-26;CLTS PASSAGERS/99;411004;634500;0.004;C;
2026-06-02;2026-06-02;VT J.C;FAC N333-334-26;CLTS PASSAGERS/111/99;411004;411004;0.000;D;
2026-06-02;2026-06-02;VT J.C;FAC N333-334-26;CLTS PASSAGERS/111/99;411004;411004;4426.270;D;
2026-06-02;2026-06-02;VT J.C;FAC N333-334-26;CLTS PASSAGERS/111/99;411004;707200;3428.868;C;
2026-06-02;2026-06-02;VT J.C;FAC N333-334-26;CLTS PASSAGERS/111/99;411004;707219;836.474;C;
2026-06-02;2026-06-02;VT J.C;FAC N333-334-26;CLTS PASSAGERS/111/99;411004;436711;158.930;C;
2026-06-02;2026-06-02;VT J.C;FAC N333-334-26;CLTS PASSAGERS/111/99;411004;437500;2.000;C;
2026-06-02;2026-06-02;VT J.C;FAC N333-334-26;CLTS PASSAGERS/111/99;634500;411004;0.002;D;
2026-06-03;2026-06-03;VT J.C;FAC N336-26;CLTS PASSAGERS/99;411004;411004;0.000;D;
2026-06-03;2026-06-03;VT J.C;FAC N336-26;CLTS PASSAGERS/99;411004;411004;3223.800;D;
2026-06-03;2026-06-03;VT J.C;FAC N336-26;CLTS PASSAGERS/99;411004;707200;2391.302;C;
2026-06-03;2026-06-03;VT J.C;FAC N336-26;CLTS PASSAGERS/99;411004;707219;698.740;C;
2026-06-03;2026-06-03;VT J.C;FAC N336-26;CLTS PASSAGERS/99;411004;436711;132.761;C;
2026-06-03;2026-06-03;VT J.C;FAC N336-26;CLTS PASSAGERS/99;411004;437500;1.000;C;
2026-06-03;2026-06-03;VT J.C;FAC N336-26;CLTS PASSAGERS/99;634500;411004;0.003;D;
2026-06-04;2026-06-04;VT J.C;FAC N338-26;CLTS PASSAGERS/99;411004;411004;0.000;D;
2026-06-04;2026-06-04;VT J.C;FAC N338-26;CLTS PASSAGERS/99;411004;411004;4342.490;D;
2026-06-04;2026-06-04;VT J.C;FAC N338-26;CLTS PASSAGERS/99;411004;707200;2895.188;C;
2026-06-04;2026-06-04;VT J.C;FAC N338-26;CLTS PASSAGERS/99;411004;707219;1215.378;C;
2026-06-04;2026-06-04;VT J.C;FAC N338-26;CLTS PASSAGERS/99;411004;436711;230.922;C;
2026-06-04;2026-06-04;VT J.C;FAC N338-26;CLTS PASSAGERS/99;411004;437500;1.000;C;
2026-06-04;2026-06-04;VT J.C;FAC N338-26;CLTS PASSAGERS/99;411004;634500;0.002;C;
2026-06-05;2026-06-05;VT J.C;FAC N340-26;CLTS PASSAGERS/99;411004;411004;0.000;D;
2026-06-05;2026-06-05;VT J.C;FAC N340-26;CLTS PASSAGERS/99;411004;411004;4751.880;D;
2026-06-05;2026-06-05;VT J.C;FAC N340-26;CLTS PASSAGERS/99;411004;707200;3524.578;C;
2026-06-05;2026-06-05;VT J.C;FAC N340-26;CLTS PASSAGERS/99;411004;707219;1030.509;C;
2026-06-05;2026-06-05;VT J.C;FAC N340-26;CLTS PASSAGERS/99;411004;436711;195.797;C;
2026-06-05;2026-06-05;VT J.C;FAC N340-26;CLTS PASSAGERS/99;411004;437500;1.000;C;
2026-06-05;2026-06-05;VT J.C;FAC N340-26;CLTS PASSAGERS/99;634500;411004;0.004;D;
2026-06-06;2026-06-06;VT J.C;FAC N342-26;CLTS PASSAGERS/99;411004;411004;0.000;D;
2026-06-06;2026-06-06;VT J.C;FAC N342-26;CLTS PASSAGERS/99;411004;411004;4486.690;D;
2026-06-06;2026-06-06;VT J.C;FAC N342-26;CLTS PASSAGERS/99;411004;707200;3708.984;C;
2026-06-06;2026-06-06;VT J.C;FAC N342-26;CLTS PASSAGERS/99;411004;707219;652.697;C;
2026-06-06;2026-06-06;VT J.C;FAC N342-26;CLTS PASSAGERS/99;411004;436711;124.012;C;
2026-06-06;2026-06-06;VT J.C;FAC N342-26;CLTS PASSAGERS/99;411004;437500;1.000;C;
2026-06-06;2026-06-06;VT J.C;FAC N342-26;CLTS PASSAGERS/99;634500;411004;0.003;D;
